disease,Diet Plan,Additional Information
vertigo (paroxysmal positional vertigo),"Include iodine and selenium-rich foods like fish, eggs, and nuts. Limit soy and cruciferous vegetables.",An underactive thyroid gland; treated with thyroid hormone replacement therapy (levothyroxine).
amebiasis,"Consume warm soups, tea with honey, and nutrient-rich foods like citrus fruits and leafy greens.",A viral respiratory infection; annual vaccination recommended; antiviral medications can reduce severity.
anemia,"Maintain a balanced diet with plenty of fruits, vegetables, whole grains, and lean proteins.",A symptom of liver dysfunction; treatment depends on the underlying cause.
arthritis,"Focus on a balanced diet rich in vitamins and minerals, particularly vitamin C and zinc.",A chronic infectious disease caused by Mycobacterium leprae; treated with multidrug therapy (MDT).
ascariasis,"Consume light, non-greasy foods like porridge, fruits, and boiled vegetables. Stay hydrated.",Caused by Plasmodium parasites; treated with antimalarial drugs like chloroquine or artemisinin-based therapies.
bronchial asthma,"Boost immunity with foods rich in vitamin A, C, and zinc, such as carrots, oranges, and leafy greens.",Highly contagious viral infection; vaccination with MMR vaccine is the most effective prevention method.
candidiasis,"Avoid trigger foods like caffeine, alcohol, and aged cheese. Include magnesium-rich foods like spinach and nuts.",Severe headaches often accompanied by nausea; treatment includes pain relievers and preventive medications.
cervical spondylosis,"Eat soft, bland foods like mashed potatoes, oatmeal, and soup. Avoid acidic and spicy foods.",Viral infection causing swelling of salivary glands; vaccination with MMR vaccine is best prevention method.
chickenpox,"Include anti-inflammatory foods like fish oil, berries, and olive oil. Avoid processed and high-sugar foods.",Degenerative joint disease; management includes physical therapy and pain relievers.
chikungunya,"Opt for non-acidic, soft foods like bananas, oatmeal, and lean meats. Avoid caffeine, alcohol, and spicy foods.",Sores in the stomach lining; treatment includes antibiotics and acid-reducing medications.
chronic cholestasis,"Consume warm fluids, soups, and nutrient-rich foods like chicken, vegetables, and citrus fruits.",Infection of the lungs caused by bacteria or viruses; treatment depends on the cause.
dengue,"Incorporate omega-3 fatty acids, whole grains, and vegetables. Avoid red meat, sugar, and processed foods.",Autoimmune condition causing rapid skin cell turnover; treatment includes topical creams and systemic medications.
diabetes,"Eat immune-boosting foods like citrus fruits, garlic, and spinach to help recovery.",Viral infection; vaccination with MMR vaccine is the best prevention method.
dimorphic hemorrhoids (piles),"Consume anti-inflammatory foods like turmeric, ginger, and green leafy vegetables. Avoid sugary and processed foods.",Caused by the mite Sarcoptes scabiei; treatment includes topical scabicides like permethrin.
drug reaction,"Stay hydrated and eat warm nutrient-rich foods like broth, ginger tea, and fruits rich in vitamin C.",Inflammation of the sinuses; treatment includes decongestants and nasal sprays if bacterial.
filariasis,"Focus on a healthy balanced diet with antioxidants, lean proteins, and fruits. Avoid alcohol and processed foods.",Sexually transmitted infection caused by Treponema pallidum; treated with antibiotics (typically penicillin).
gastroenteritis,Include high-fiber foods to help eliminate worms; avoid raw or undercooked meat/fish.,Intestinal parasites; treatment includes antiparasitic medications like praziquantel or albendazole.
gerd ,"Focus on protein-rich foods such as eggs, fish, lean meat to support healing; include fruits/vegetables for immunity.",Caused by Clostridium tetani; preventable through vaccination (DTaP or Tdap).
gonorrhea,Consume iron-chelating foods like tea/coffee after meals to reduce iron absorption; include folate-rich foods.,Genetic blood disorder causing anemia; treatment includes blood transfusions/iron chelation therapy.
hepatitis a,Eat a balanced diet rich in fruits/vegetables/lean protein to support immunity; avoid undercooked meat/unpasteurized dairy.,Caused by Toxoplasma gondii; particularly dangerous for pregnant women/immunocompromised individuals.
hepatitis e,Focus on probiotic-rich foods like yogurt/fermented vegetables; avoid sugar/processed foods to discourage infection growth.,Sexually transmitted infection caused by Trichomonas vaginalis; treated with antibiotics like metronidazole.
hookworm infection,Include high-calorie/protein-rich foods to meet increased energy needs; add vitamin D-rich foods.,Caused by Mycobacterium tuberculosis; treatment involves a long course of antibiotics (6-9 months).
hypertension,Stick to soft/easily digestible foods like boiled rice/steamed vegetables/bananas; avoid spicy/fried foods.,Caused by Salmonella typhi; spread through contaminated food/water; treatment includes antibiotics/hydration.
hyperthyroidism,Drink plenty of water/consume cranberries/blueberries/yogurt to prevent infection; avoid caffeine/alcohol.,Caused by bacteria (most commonly E.coli); treatment includes antibiotics/increased fluid intake.
hypoglycemia,Stay hydrated with fluids like coconut water/included nutrient-rich foods to boost recovery.,Viral disease transmitted by mosquitoes; vaccination is the most effective prevention method.
hypothyroidism,Consume immune-boosting foods like citrus fruits/garlic/ginger; stay hydrated/avoid alcohol.,Transmitted by mosquitoes/can cause birth defects if contracted during pregnancy; prevention focuses on mosquito control.
influenza,Focus on nutrient-dense foods including lean protein/whole grains/fruits; avoid raw food/prioritize food safety.,Caused by HIV virus attacking the immune system; antiretroviral therapy (ART) is primary treatment.
jaundice,Follow a liver-friendly diet with fruits/vegetables/whole grains; avoid alcohol/fatty fried foods.,Liver inflammation caused by excessive alcohol consumption; abstinence from alcohol is crucial for recovery.
leprosy,Consume a balanced diet with lean protein/whole grains/antioxidants to support recovery.,Caused by Bacillus anthracis contracted through infected animals or contaminated products; treated with antibiotics.
malaria,Eat a nutrient-rich diet with folate/iron/vitamin B12-rich foods like leafy greens/legumes/eggs.,Condition where bone marrow fails to produce enough blood cells; treatment includes immunosuppressive therapy/bone marrow transplant.
measles,Focus on low-sugar/nutrient-rich foods like vegetables/whole grains/lean protein to support immune recovery.,Rare fungal infection primarily affecting immunocompromised individuals; treated with antifungal medications/surgical debridement.
migraine,Incorporate fruits/vegetables especially cruciferous ones like broccoli; avoid processed/high-fat foods.,Often linked to smoking/exposure to certain chemicals; treatment includes surgery/chemotherapy/immunotherapy.
mumps,Focus on calcium/vitamin D-rich foods like dairy/fish/fatty fish anti-inflammatory food.,Can be primary or metastatic cancer originating in bone/spread from another site; treated with surgery/chemotherapy/radiation.
osteoarthritis,Incorporate antioxidant-rich foods like berries/spinach/nuts; avoid alcohol/sugary foods.,Most common cancer in women;treatment options include surgery/radiation/chemotherapy/hormone therapy.
peptic ulcer diseae,Eat folate-rich foods like spinach/beans/oranges/included green tea/turmeric for anti-cancer properties.,Often caused by HPV infection/prevention methods include regular Pap smears/HPV vaccination.
pneumonia,Boost immunity with probiotics/yogurt/fermented vegetables while avoiding sugar & processed food.,Common sexually transmitted infection caused by Chlamydia trachomatis;treatment includes antibiotics (azithromycin).
psoriasis,Maintain a balanced diet with plenty of fruits/vegetables/whole grains & lean proteins.,Caused by SARS-CoV-2 virus/prevention strategies include vaccination/social distancing/masks.
rubella,Follow a balanced diet rich in fiber & avoid undercooked/unhygienic food to prevent reinfection.,Caused by pork tapeworm Taenia solium/treatment may require antiparasitic medications/surgery.
scabies,"Maintain a balanced diet with plenty of fruits, vegetables, whole grains, and lean proteins.","Often caused by issues in the inner ear, such as benign paroxysmal positional vertigo (BPPV). Staying hydrated and avoiding caffeine and alcohol can help reduce symptoms. Physical therapy maneuvers like the Epley maneuver are often used to treat BPPV."
sinusitis,"Consume easily digestible foods such as boiled vegetables, rice, and yogurt. Avoid raw or unhygienic foods to prevent further infection.",Caused by the parasite Entamoeba histolytica; commonly transmitted through contaminated water or food. Proper sanitation and hygiene are crucial to prevent infection.
syphilis,"Include iron-rich foods like spinach, red meat, beans, and fortified cereals. Pair with vitamin C-rich foods for enhanced absorption.","Can result from iron deficiency, vitamin B12 deficiency, or chronic diseases. Symptoms include fatigue, weakness, and pale skin. In severe cases, iron supplements or blood transfusions may be necessary."
tapeworm infection,"Incorporate anti-inflammatory foods like fatty fish, olive oil, and turmeric. Avoid processed foods and sugar.","Includes conditions like osteoarthritis and rheumatoid arthritis. Regular exercise, weight management, and medications like NSAIDs are often part of the treatment plan."
tetanus,"Focus on a balanced diet with plenty of fiber, fruits, and vegetables. Avoid uncooked or unhygienic foods to prevent reinfection.",Caused by the roundworm Ascaris lumbricoides; common in areas with poor sanitation. Antiparasitic medications like albendazole are used for treatment.
thalassemia,"Include foods rich in omega-3 fatty acids, vitamin C, and antioxidants. Avoid dairy and processed foods that may trigger inflammation.",A chronic inflammatory condition of the airways; inhalers (bronchodilators and corticosteroids) are commonly used to manage symptoms. Avoiding allergens and irritants is key.
toxoplasmosis,"Consume probiotics like yogurt and kefir; limit sugar, refined carbs, and yeast-containing foods.","Caused by an overgrowth of the fungus Candida; can affect the mouth (thrush), skin, or genital area. Antifungal medications like fluconazole are often prescribed."
trichomoniasis,"Maintain a calcium-rich diet with dairy products, leafy greens, and fortified foods. Avoid high-sugar and high-sodium foods.","A degenerative condition affecting the neck vertebrae; physical therapy, pain management, and sometimes surgery are used to treat severe cases."
tuberculosis,"Eat soft, bland foods like oatmeal, soup, and mashed vegetables. Avoid spicy and acidic foods that irritate the mouth.",Caused by the varicella-zoster virus; highly contagious and typically affects children; vaccination is the best prevention method.
typhoid,"Stay hydrated and consume immunity-boosting foods like papaya, citrus fruits, and vegetables.",A viral disease transmitted by mosquitoes; symptoms include fever and severe joint pain; management focuses on relieving symptoms as there is no specific treatment.
urinary tract infection,Follow a low-fat diet; consume fiber-rich foods; avoid fried and processed foods.,A condition where bile flow from the liver is reduced; can lead to liver damage requiring medical management including medications like ursodeoxycholic acid.
yellow fever,"Consume papaya leaves, pomegranate, and kiwi to support platelet count; stay hydrated and avoid greasy foods.",A mosquito-borne viral infection; severe cases can lead to dengue hemorrhagic fever requiring hospitalization; prevention focuses on mosquito control.
zika virus,"Focus on low-glycemic index foods such as whole grains, vegetables, and lean proteins; avoid sugary snacks and beverages.","A chronic condition where the body cannot regulate blood sugar levels; management includes insulin therapy, oral medications, and lifestyle changes."
aids,"Include high-fiber foods like fruits, vegetables, and whole grains to ease bowel movements; avoid spicy and fried foods.","Swollen veins in the rectum or anus; treatment includes topical creams, sitz baths, and in severe cases surgical removal."
