Symptom_Loose stools,Symptom_Infection,Symptom_Peeling skin,Symptom_Sneezing,Symptom_Runny nose,Symptom_Tenderness,Symptom_Hearing loss,Symptom_Ear pain,Symptom_Dryness,Symptom_Red rash,Symptom_Itching,Symptom_Excess gas,Symptom_Fever,Symptom_Chest pain,Symptom_Scratching,Symptom_Red bumps,Symptom_Painful sores,Symptom_Pain,Symptom_Cracking skin,Symptom_Burping,Symptom_Nausea,Symptom_Watery eyes,Symptom_Difficulty breathing,Symptom_Itchy eyes,Symptom_Crusting,Symptom_Loss of appetite,Symptom_Sinus pressure,Symptom_Cramping,Symptom_Pimples,Symptom_Warmth,Symptom_Straining,Symptom_Pain while eating,Symptom_Blisters,Symptom_Dark urine,Symptom_Scaling,Symptom_Dehydration,Symptom_Toothache,Symptom_Red Red rash,Symptom_Abdominal pain,Symptom_Hard stool,Symptom_Difficulty eating,Symptom_Blackheads,Symptom_Vomiting,Symptom_Hoarseness,Symptom_Discharge,Symptom_Loss of taste,Symptom_Heartburn,Symptom_Red patches,Symptom_Fatigue,Symptom_Itchy welts,Symptom_Discolored patches,Symptom_Bloating,Symptom_Dry mouth,Symptom_Watery discharge,Symptom_Difficulty swallowing,Symptom_White patches,Symptom_Thirst,Symptom_Bleeding,Symptom_Stuffy nose,Symptom_Acid reflux,Symptom_Nits on hair,Symptom_Red edges,Symptom_Lightheadedness,Symptom_Flaky scalp,Symptom_Rough texture,Symptom_Pus formation,Symptom_Headache,Symptom_Sweating,Symptom_Hard bumps,Symptom_Rectal pain,Symptom_Soreness,Symptom_Mouth sores,Symptom_Difficulty passing stool,Symptom_Crust formation,Symptom_Scalp redness,Symptom_Painful lump,Symptom_Diarrhea,Symptom_Dizziness,Symptom_Redness,Symptom_Sensitivity,Symptom_Painful bump,Symptom_Thickened skin,Symptom_Urgency,Symptom_Itchy scalp,Symptom_Discomfort,Symptom_Abdominal bloating,Symptom_Whiteheads,Symptom_Scarring,Symptom_Inflammation,Symptom_Swelling,Symptom_Burning sensation,Symptom_Cavities,Symptom_Congestion,Symptom_Pain while walking,Symptom_Prickly sensation,Symptom_Bleeding from nose,Symptom_Abdominal cramps,Disease_Conjunctivitis,Disease_Mild sunburn,Disease_Oral thrush,Disease_Sore throat,Disease_Athlete’s foot,Disease_Dandruff,Disease_Diarrhea,Disease_Heartburn,Disease_Acne,Disease_Heat rash,Disease_Canker sores,Disease_Allergic rhinitis,Disease_Flatulence,Disease_Constipation,Disease_Styes,Disease_Food poisoning,Disease_Ear infection,Disease_Tooth decay,Disease_Indigestion,Disease_Ingrown toenails,Disease_Lice infestation,Disease_Warts,Disease_Hives,Disease_Fungal infections,Disease_Dermatitis,Disease_Dehydration,"Disease_Hand, foot and mouth disease",Disease_Nosebleeds,Disease_Boils,Disease_Nasal congestion,Disease_Pityriasis versicolor,Disease_Corns and calluses,Disease_Hemorrhoids,Disease_Gastritis,Disease_Jock itch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
